time(s),ankle_angle(deg),ankle_velocity(deg/s)
0.180500,2.679147,14.643764
0.181000,2.686444,14.592844
0.181500,2.693715,14.542128
0.182000,2.700960,14.491616
0.182500,2.708181,14.441306
0.183000,2.715377,14.391197
0.183500,2.722547,14.341287
0.184000,2.729693,14.291575
0.184500,2.736814,14.242061
0.185000,2.743910,14.192742
0.185500,2.750982,14.143618
0.186000,2.758030,14.094688
0.186500,2.765053,14.045949
0.187000,2.772051,13.997401
0.187500,2.779026,13.949043
0.188000,2.785976,13.900873
0.188500,2.792903,13.852891
0.189000,2.799805,13.805094
0.189500,2.806684,13.757483
0.190000,2.813539,13.710056
0.190500,2.820370,13.662811
0.191000,2.827178,13.615748
0.191500,2.833963,13.568865
0.192000,2.840724,13.522161
0.192500,2.847462,13.475636
0.193000,2.854176,13.429288
0.193500,2.860868,13.383116
0.194000,2.867536,13.337119
0.194500,2.874182,13.291296
0.195000,2.880805,13.245646
0.195500,2.887405,13.200167
0.196000,2.893982,13.154860
0.196500,2.900537,13.109722
0.197000,2.907070,13.064753
0.197500,2.913580,13.019951
0.198000,2.920067,12.975316
0.198500,2.926533,12.930847
0.199000,2.932976,12.886543
0.199500,2.939397,12.842402
0.200000,2.945796,12.798424
0.200500,2.952174,12.754608
0.201000,2.958529,12.710953
0.201500,2.964863,12.667457
0.202000,2.971175,12.624120
0.202500,2.977465,12.580942
0.203000,2.983734,12.537920
0.203500,2.989982,12.495054
0.204000,2.996208,12.452344
0.204500,3.002413,12.409788
0.205000,3.008597,12.367385
0.205500,3.014759,12.325135
0.206000,3.020901,12.283036
0.206500,3.027021,12.241088
0.207000,3.033121,12.199289
0.207500,3.039200,12.157640
0.208000,3.045258,12.116138
0.208500,3.051295,12.074784
0.209000,3.057312,12.033576
0.209500,3.063308,11.992514
0.210000,3.069284,11.951596
0.210500,3.075239,11.910822
0.211000,3.081175,11.870191
0.211500,3.087089,11.829702
0.212000,3.092984,11.789355
0.212500,3.098859,11.749148
0.213000,3.104713,11.709080
0.213500,3.110548,11.669152
0.214000,3.116362,11.629362
0.214500,3.122157,11.589709
0.215000,3.127932,11.550192
0.215500,3.133688,11.510811
0.216000,3.139424,11.471565
0.216500,3.145140,11.432453
0.217000,3.150837,11.393475
0.217500,3.156514,11.354630
0.218000,3.162172,11.315916
0.218500,3.167811,11.277333
0.219000,3.173430,11.238881
0.219500,3.179030,11.200558
0.220000,3.184611,11.162365
0.220500,3.190174,11.124299
0.221000,3.195717,11.086361
0.221500,3.201241,11.048550
0.222000,3.206746,11.010865
0.222500,3.212233,10.973305
0.223000,3.217701,10.935870
0.223500,3.223150,10.898558
0.224000,3.228581,10.861370
0.224500,3.233993,10.824305
0.225000,3.239387,10.787361
0.225500,3.244762,10.750538
0.226000,3.250119,10.713836
0.226500,3.255458,10.677254
0.227000,3.260778,10.640790
0.227500,3.266080,10.604446
0.228000,3.271364,10.568219
0.228500,3.276630,10.532109
0.229000,3.281878,10.496115
0.229500,3.287109,10.460238
0.230000,3.292321,10.424475
0.230500,3.297515,10.388827
0.231000,3.302692,10.353293
0.231500,3.307851,10.317873
0.232000,3.312992,10.282565
0.232500,3.318116,10.247369
0.233000,3.323222,10.212284
0.233500,3.328311,10.177310
0.234000,3.333382,10.142446
0.234500,3.338436,10.107692
0.235000,3.343472,10.073047
0.235500,3.348491,10.038510
0.236000,3.353493,10.004081
0.236500,3.358478,9.969759
0.237000,3.363446,9.935544
0.237500,3.368397,9.901435
0.238000,3.373331,9.867431
0.238500,3.378247,9.833532
0.239000,3.383147,9.799737
0.239500,3.388030,9.766045
0.240000,3.392896,9.732457
0.240500,3.397746,9.698972
0.241000,3.402579,9.665588
0.241500,3.407395,9.632306
0.242000,3.412194,9.599125
0.242500,3.416977,9.566044
0.243000,3.421744,9.533062
0.243500,3.426494,9.500180
